;KONE»N… POÿADÕ SPAC 2008;;;;;;;;;;;;;;;;;;;;;;
;11. roËnÌk;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
8.;SIWEK;Stanislaw;GLIVICE;171;0;36;0;0;0;34;0;0;0;31;0;36;0;0;0;34;171;26;1
9.;äLONC;Vlastimil;TJ Té TÿINEC;151;0;0;40;0;0;0;33;0;0;38;40;0;0;0;0;0;151;26;0
10.;OSLZLA;Stanislav;BRUäPERK;92;0;0;0;0;0;0;0;0;0;27;0;32;0;33;0;0;92;26;0
11.;RECHTENBERG;Karel;FR›DLANT n.O.;88;0;0;0;0;0;0;0;0;0;0;0;28;0;29;0;31;88;26;0
12.;KRZESZOWIEC;Zbigniew;GLIVICE;80;40;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;80;26;0
13.;KU»ERA;Gerhard;KOZMICE;59;0;29;0;30;0;0;0;0;0;0;0;0;0;0;0;0;59;26;0
14.;HRDINA;Miroslav;SOKOL PLESN¡;56;0;0;0;0;0;0;0;0;0;26;0;0;0;30;0;0;56;26;0
15.;MLYN¡ÿ;Miloslav;ACS DRAK VRBNO p.P.;36;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;36;26;0
16.;BABILAS;Marian;AGK RYBNIK;36;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;36;26;0
17.;GRZEMPA;Grzegorz;START BIELSKO BIALA;34;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;26;0
18.;KALETA;Karel;TJ Té TÿINEC;34;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;34;26;0
19.;RYCHTA;Otmar;CPV KRNOV;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;34;26;0
20.;CHUDÃJ;Jan;AVPS V¡PEN¡;33;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;26;0
21.;PIELOK;Jerzy;GLIVICE;33;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;26;0
22.;GALUSZKA;Jan;;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;33;26;0
23.;MIKA;Ladislav;RACING OLEäN¡ F-M;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;33;26;0
24.;LATTENBERG;Ivan;;31;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;31;26;0
25.;JURZYCA;Edward;POLSKO;30;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;30;26;0
26.;DOBI¡ä;BohumÌr;SK VALAäSK…HO KR¡LOVSTVI;29;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;29;26;0
27.;GEOF;William;SK JIÿÕ TEAM OSTRAVA;28;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;28;26;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie é;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
1.;JAKLOV¡;Ivana;ORLI OSTRAVA;506;36;40;38;38;38;36;0;36;40;38;80;0;38;80;40;36;614;43;1
